calBP,DeltaC13Car,DeltaC13Col,DeltaN,n,CompID,MAT,CRR,NPP,PrDens,lo,hi,logFit3
7500,-7.108,-14.346,9.676,5,Component II,17.88096156,509.5381145,861.1271586,5.811136005,3.174061693,7.560118769,5.343072719
7300,-6.41,-14.2525,9.6175,4,Component II,18.09327932,465.0561742,797.0111886,7.808135284,3.664477802,8.0037329,5.732784618
7100,-6.8,-14.4,9.65,3,Component II,17.91185023,530.2758821,890.3773282,7.247167364,3.972146453,8.886546939,6.264747595
6900,-5.5,-12.42,11.345,2,Component II,17.8981429,492.8932127,837.3567607,9.037013657,4.456593515,9.762087638,6.976933585
6700,-7.003333333,-14.03,9.933333333,6,Component II,18.17824656,463.8915532,795.3069401,9.136742588,5.40226984,11.13421708,7.906071159
6500,-7.62,-14.92444444,8.764444444,9,Component II,18.1791394,463.2847981,794.4185225,10.20421637,6.37230723,12.48281941,9.078284068
6300,,,,0,Component II,18.03003382,455.341961,782.7554604,9.493863262,8.075991915,13.88382149,10.49630198
6100,-6.9,-15.2,9,1,Component II,18.18367884,471.6014472,806.5647378,11.16159665,9.103085136,15.73235633,12.12717574
5900,,,,0,Component II,18.31905334,483.017494,823.1286778,12.92168272,10.62039944,18.0302384,13.89756393
5700,-8.47,-16.425,9.535,4,Component II,18.06258469,493.1772137,837.7645463,15.39197993,12.24132078,19.61810004,15.70298077
5500,-8.132857143,-15.99428571,8.895714286,7,Component II,18.06545436,494.3920876,839.5080671,15.5204207,13.48534689,21.78158018,17.4305489
5300,,,,0,Component II,17.92571035,520.1592464,876.1583475,18.69808195,15.3691845,23.465874,18.98572995
5100,-8.466666667,-15.93333333,7.7,4,Component II,17.86096863,494.5231608,839.6960921,20.73363328,15.94586669,24.60838039,20.31054077
4900,,,,0,Component II,18.2194044,495.7113092,841.3997497,20.2184163,17.63166607,26.04089985,21.38696166
4700,-7.935,-16.12,8.955,2,Component II,18.24651087,479.0925369,817.4479785,23.91206849,17.70108847,26.92079024,22.22837252
4500,-9.295,-16.895,7.965,6,Component II,18.11237422,532.0887173,892.9152009,24.70646629,18.65858375,27.80256081,22.86636826
4300,-8.0475,-16.1475,8.8725,4,Component II,18.08744156,487.14343,829.0843195,32.13972903,18.75729449,28.69725771,23.33903088
4100,-8.18,-15.94,9.12,1,Component II,18.11879272,510.3724887,862.3118183,24.84942082,19.3836491,28.60514956,23.68321133
3900,-7.8675,-15.43875,9.21625,8,Component II,18.20551168,515.6461221,869.7842544,21.38863567,19.43603665,29.09157214,23.93069223
3700,-8.8775,-16.27,8.723333333,12,Component II,18.30980311,482.9905305,823.0897033,18.79303394,19.66380251,29.10331732,24.10703057
3500,-8.09,-15.57142857,8.874285714,7,Component III,18.07490087,474.3962382,810.6314115,21.81645245,17.68741765,29.05568162,24.16417934
3300,-8.117142857,-15.38142857,9.08,4,Component III,18.11305995,470.6713222,805.2096472,27.14641114,16.97019999,32.86948093,24.20828233
3100,-8.65,-16.3,7.9,2,Component III,18.14198349,484.8401359,825.7616084,19.46431726,17.52913792,33.82347384,24.72206228
2900,-7.16,-15.505,10.545,2,Component III,18.38358983,446.4714796,769.6573548,14.9653375,18.94725595,35.07495216,25.60325513
2700,,,,0,Component III,18.07400284,460.2844594,790.0201284,36.83059623,20.88218835,37.20109872,27.07804624
2500,-8.6,-15.4,9.8,1,Component III,18.00669195,489.1471661,831.9707604,34.54648138,21.78166261,39.20970041,29.44836999
2300,-9.53,-16.97142857,9.02,7,Component III,17.9723821,492.2992447,836.5036574,33.22049468,26.41339224,43.68202785,33.02214583
2100,-9.561818182,-17.74,9.076363636,11,Component III,18.04764516,485.8732193,827.2525536,39.92736018,30.0825768,49.66868355,37.92622354
1900,-9.103333333,-17.38,8.73,3,Component III,17.79289327,516.0685169,870.3816326,42.94586742,34.65565554,57.65283123,43.85880415
1700,-9.24,-16.77,9.09,3,Component III,18.11278478,482.9442255,823.0227698,44.05493331,41.36158932,63.45703007,50.03771539
1500,-10.2,-17.75,9.25,1,Component III,18.11401154,502.4952324,851.1013516,49.78271589,45.89640883,69.51240089,55.54775477
1300,-9.5,-17.9,8.8,2,Component III,18.2319254,519.9523597,875.8665694,62.0167945,51.15389456,73.50203016,59.81901887
1100,-12.15,-18.7925,8.01875,16,Component III,18.3373376,525.8437098,884.1596433,75.25166784,52.93181775,77.47799752,62.78195332
900,,,,0,Component III,17.8901504,523.1811838,880.4157041,68.55474101,54.31168917,78.63031303,64.68123308
700,-8.90952381,-16.07619048,9.40952381,21,Component III,17.9135464,512.91443,865.91687,69.19822925,56.50775573,79.91927794,65.83736016
500,-5,-9.75,11.2,2,Component III,18.19196086,538.4485233,901.7944715,62.76335922,55.20887148,79.30787653,66.51899053
