Site Name,Trinomial,Assay No.,Provenience (if known),Feature Type,Material,Taxa dated,Human,DatesUse,Error,Corrected/Raw,Corrected/Normalized 14C age, Corrected/Normalized Age,Delta 13C,Delta 13C source,Raw/Measured Age, Raw/Measured Age,AMS or Radiometric,Comments,Reference,pdf,Region
Higgins Site,41BX184,Beta-64759,"Template 1W, Strat 197-2",,charcoal,,No,30,50,Corrected,30,50,-26.9,,60,,,,,,CTx
Millican Bench,41TV163,UGA-12306,"Feature 3, Level 1, S185/E160, 0-0.5 ft",,charcoal,,No,40,40,Corrected,40,40,-26,measured,40,40,AMS,"Millican 188-004, not considered appropriate for calendar calibration; modern but left in","Mauldin, R., Tomka, S., Shafer, H. (2004). Millican Bench (41TV163) A multicomponent site in Travis County, Texas. Texas Department of Transportation Archaeological report No. 66",Mauldin 2004,CTx
Varga ,41ED28,UGA-12731,"Blk. B, Unit N120/E71, 20-30 cm",,Sherd ,,No,60,40,Corrected,60,40,-22.8,measured,21,40,,,"Quigg, J. Michael, et al., 2008. The Varga Site: A Multicomponent, Stratified Campsite in the Canyonlands of Edwards County, Texas. TRC Enviromental Corporation, Austin, Texas. Technical Report No. 35319. ",Quigg 2008.pdf,CTx
Millican Bench,41TV163,UGA-12308,"Level 1, Area E, 0-0.5 ft",,charcoal,,No,60,40,Corrected,60,40,-25.1,measured,60,40,AMS,"Millican 202-003, not considered appropriate for calendar calibration; 60 +-40 BP, Modern but left in","Mauldin, R., Tomka, S., Shafer, H. (2004). Millican Bench (41TV163) A multicomponent site in Travis County, Texas. Texas Department of Transportation Archaeological report No. 66",Mauldin 2004,CTx
,41CV115,OxA-21510,"Unit #25.696R16.759, Feature #VI (F21), Depth 25-30cm",,CHARCOAL,,No,61,29,Corrected,61,29,-29,measured,,,,,Fort Hood Database,,CTx
,41CX198,B-21618,"Unit 1, Level 1, basin",Midden,,,No,70,50,Corrected,70,50,,,,,,Few details listed. Reference given (Carlson & Mueller-Wille 1994) not located in search.�,"Turpin, Solveig A., 2000. Block 13: Archeological Survey on University Lands Crockett County, Texas. The University of Texas at Austin. ",Turpin 2000,CTx
"Area II-C, Site TK-1",41BX1628,Beta-260902,Unit 44 Level 6,,charred material,,No,70,40,Corrected,70,40,-25.8,,80,,,,,,CTx
,41CV115,UCIAMS-19134,"Unit #25R18, Feature #I (F6), Depth 0-1cm",,CHARCOAL,,No,80,15,Corrected,80,15,-23.2,measured,,,,,Fort Hood Database,,CTx
Varga ,41ED28,Beat-175405,"Fea. 8, Blk. B, Unit N118/E70, 10-20 cm",,Charcoal,,No,80,30,Corrected,80,30,-22.5,measured,40,30,,,"Quigg, J. Michael, et al., 2008. The Varga Site: A Multicomponent, Stratified Campsite in the Canyonlands of Edwards County, Texas. TRC Enviromental Corporation, Austin, Texas. Technical Report No. 35319. ",Quigg 2008.pdf,CTx
Varga ,41ED28,Beta-175405,,,Charred material,,No,80,30,Corrected,80,30,-22.5,measured,40,30,AMS,Sample: ED28/843-005-7-1A,"Quigg, J. Michael, et al., 2008. The Varga Site: A Multicomponent, Stratified Campsite in the Canyonlands of Edwards County, Texas. TRC Enviromental Corporation, Austin, Texas. Technical Report No. 35319. ",Quigg 2008.pdf,CTx
Zapotec,41HY163,UGAMS-4428,"Unit 68, Level 3",,tooth enamel,Bison bison,No,80,25,Corrected,80,25,,,,,AMS,"Field number: 598-1009, tooth enamel sampled, enamel bioapatite","2011 Lohse Jon. Prehistoric life, labor, and residence southeast central Texas (41HY163)Archaeological Studies Report 18. Center for Archaeological Studies Texas State University-San Marcos",Lohse 2011,CTx
Olmos,41BX1,TX-3993,"Zone 2 Area A, N1002 E1012, Feature 2, elevation 98.78-98.67",,charcoal,,No,80,160,Corrected,80,160,,,1920,,,,,,CTx
Medio Creek,41BX1421,Beta-163785,"Unit 5, Level 2",,charcoal,,No,80,40,Corrected,80,40,-24.4,,70,,,,,,CTx
,41CV115,UCIAMS-19135,"Unit #25R18, Feature #I (F6), Depth 0-1cm",,CHARCOAL,,No,85,20,Corrected,85,20,-27.4,measured,,,,,Fort Hood Database,,CTx
,41CV115,UCIAMS-19136,"Unit #25R18, Feature #I (F6), Depth 0-1cm",,CHARCOAL,,No,85,20,Corrected,85,20,-27.4,measured,,,,,Fort Hood Database,,CTx
,41CV115,OxA-21394,"Unit #25R16, Depth 0-5cm",,CHARCOAL,,No,94,26,Corrected,94,26,-25.7,measured,,,,,Fort Hood Database,,CTx
,41CV115,UCIAMS-19137,"Unit #25R18, Feature #I (F6), Depth 1-6cm",,CHARCOAL,,No,100,20,Corrected,100,20,-28.8,measured,,,,,Fort Hood Database,,CTx
,41CV115,UCIAMS-19140,"Unit #25R18, Feature #I (F6), Depth 0-5cm",,CHARCOAL,,No,100,15,Corrected,100,15,-29.3,measured,,,,,Fort Hood Database,,CTx
,41CV595,BETA-149092,"Unit #51, Depth 28cm",,CHARCOAL,,No,100,40,Corrected,100,40,-28.6,measured,,,AMS,,Fort Hood Database,,CTx
,41CV760,BETA-167178,"Unit #1, Feature #1, Depth 40-50cm",BRMI,CHARCOAL,ELM,No,100,40,Corrected,100,40,-25.7,measured,,,AMS,,Fort Hood Database,,CTx
,41BX256,D-AMS 008612,Fea 14,,assume C3,,No,101,20,Corrected,101,20,-24.2,,108,,,,,,CTx
,41BL740,BETA-74070,,BR CONCENTRATION,CHARCOAL,,No,110,60,Corrected,110,60,,,,,,,Fort Hood Database,,CTx
Buckhollow ,41KM16,Tx-2856,,,,,No,110,50,Corrected,110,50,,,,,,,"Ricklis, R., 1994. Archaic and Late Prehistory Human Ecology in the Middle Onion Creek Valley, Hays County, Texas.�Studies in Archeology�19, TARL. Vol. 1 and 2.�",Ricklis1994.pdf,CTx
,41BL886,BETA-75171,,,CHARCOAL,,No,120,70,Corrected,120,70,-27.2,measured,,,,,Fort Hood Database,,CTx
Flatrock Road ,41KM69,UGA-13508,"Area 2, TU 8, Feature 2, 39cmbs",Hearth,Charcoal,,No,120,40,Corrected,120,40,-23.58,measured,100,40,AMS  ,Sample ID: 41KM69-402,"Thompson, Jennifer L. at al, 2012. Archeological Testing and Data Recovery at the Flatrock Road Site, 41KM69, Kimble County, Texas. Center for Archaeological Research, The University of Texas at San Antonio. Archaeological Report, No. 419. ",Thompson 2012.pdf,CTx
Flatrock Road ,41KM69,UGA-14030,"Area 3, BHT6, Ck1/Ab1, 73cmbs",Burned rock cluster,Charcoal,,No,120,80,Corrected,120,80,-27.01,measured,150,80,AMS,Sample ID: 41KM69-321,"Thompson, Jennifer L. at al, 2012. Archeological Testing and Data Recovery at the Flatrock Road Site, 41KM69, Kimble County, Texas. Center for Archaeological Research, The University of Texas at San Antonio. Archaeological Report, No. 419. ",Thompson 2012.pdf,CTx
Lackland Site #46,41BX1114,Beta-96367,Feature 1,,charred material,,No,120,50,Corrected,120,50,-24.1,,110,,,,,,CTx
