Site,Feature,n,RCYBP,Error,MedCal,SurfaceArea,RockNumber,RockWeight,CompID,SurfaceClust,CultHist
41KM16,Feature 10,1,110,86,139,0.785,NA,NA,Component III,1,Z
41HY202-A,Feature 27,1,150,70,151,0.6789,NA,NA,Component III,1,Z
41WM1010,"Feature A2, TU 3",1,166.5,0.8,191,0.99,46,9,Component III,1,Z
41MS32,Feature 3,1,180,60,170,3.52,170,NA,Component III,1,Z
41KM16,Feature 16,2,234.5,65,239,1.76625,NA,NA,Component III,1,Z
41KM16,Feature 15,2,257.95,73,300,0.2826,NA,NA,Component III,1,H
41CV0587,Feature 2,1,260,70,304,1,NA,NA,Component III,1,H
41KM69,Feature 2,3,260,40,308,1.5386,122,23.18,Component III,1,H
41LM50,Feature 2,2,265,55,317,0.9,NA,NA,Component III,1,H
41HY209-T,Feature 19,1,270,70,321,0.4,NA,NA,Component III,1,H
41MS32,Feature 5,1,270,60,326,0.52,60,NA,Component III,1,H
41KM226,Feature 8,1,300,40,384,0.595,125,23,Component III,1,H
41LM50,Feature 1,2,350,30,392,1,NA,NA,Component III,1,H
41MS32,Feature 22,1,350,60,398,2.88,200,NA,Component III,1,H
41ED28,Feature 21,3,353.3333333,40,398,0.4216,78,15.95,Component III,1,H
41CV1085,Feature 1,1,380,70,418,1.43,NA,NA,Component III,1,H
41HY209-T,Feature 21,1,380,50,428,0.38465,NA,NA,Component III,1,H
41HM51,Feature 8,2,385,50,433,1.116,425,55.1,Component III,1,H
41BL198,Feature 1,1,390,60,432,144,NA,NA,Component III,2,H
41ED28,Feature 38,1,390,60,432,0.3,75,14.7,Component III,1,H
41HM51,Feature 4,1,390,40,447,0.09,3,0.1,Component III,1,H
41HY209-M,Feature 2,6,395,89.66666667,425,126,NA,NA,Component III,2,H
41KM16,Feature 5,1,396,60,437,1.5386,NA,NA,Component III,1,H
41HM51,Feature 10,2,400,60,441,0.477594,48,43.9,Component III,1,H
41CV1167,Feature 1,1,410,80,441,0.25,NA,NA,Component III,1,H
41KM226,Feature 5,1,420,40,480,0.2304,16,8.4,Component III,1,H
41KM226,Feature 6,2,425,40,484,1.08,119,44.9,Component III,1,H
41KM16,Feature 3,2,427.9,76,460,1.5386,NA,NA,Component III,1,H
41KM16,Feature 14,2,436,84.5,465,0.94985,NA,NA,Component III,1,H
41BL564,Feature 1,2,445,55,491,132,NA,NA,Component III,2,H
41KM226,Feature 9,1,460,40,509,0.38465,30,3.8,Component III,1,G
41KM226,Feature 4,2,465,40,511,3.4,490,176.9,Component III,1,G
41HM51,Feature 16,2,490,45,523,0.4,47,7.1,Component III,1,G
41MS32,Feature 18,1,500,80,528,1.68,150,NA,Component III,1,G
41CV0174,Feature 4,1,510,50,534,0.98,NA,NA,Component III,1,G
41TV441,Feature 2,1,520,60,542,2.2,NA,NA,Component III,1,G
41MS32,Feature 13,1,530,60,549,2.03,160,NA,Component III,1,G
41HM51,Feature 6,1,540,40,549,0.4488,38,6.6,Component III,1,G
41MS32,Feature 20,1,540,70,559,2.32,200,NA,Component III,1,G
41MS99,Feature 7,1,540,30,544,0.1292,10,3.1,Component III,1,G
41HY165,Feature 2/96,1,575,20,604,1.1,NA,NA,Component III,1,G
41KM16,Feature 1,1,580,50,596,1.76625,NA,NA,Component III,1,G
41UV86,Feature 5,1,580,60,594,0.494,NA,NA,Component III,1,G
41UV351,Feature 1,1,590,70,595,1,NA,NA,Component III,1,G
41MS32,Midden ,13,595.3846154,66.15384615,597,110.5,NA,NA,Component III,2,G
41UV47,Area A Midden,1,630,70,604,50.24,NA,NA,Component III,2,G
41ED28,Feature 9,1,660,40,616,0.2464,28,10.5,Component III,1,G
41UV86,Feature 10,1,660,60,616,0.6,NA,NA,Component III,1,G
41GU177,Feature 2,1,670,30,635,0.159,11,3,Component III,1,G
41CC222,Feature 2,1,680,70,632,2,85,76,Component III,1,G
41RN163,Feature 1,1,680,110,638,90,NA,NA,Component III,2,G
41BR493,Burned Rock Midden,3,686.6666667,40,646,208,32449,317.85,Component III,2,G
41UV48,Area A Midden,3,700,56.66666667,650,221,NA,NA,Component III,2,G
41MK9,Midden A,6,703.3333333,65,652,73.95,NA,NA,Component III,2,G
41TV441,Feature 11,1,710,50,659,0.5,NA,NA,Component III,1,G
41UV351,Feature 4,2,725,40,670,225,NA,NA,Component III,2,G
41UV45,North Midden,2,735,55,675,1000,NA,NA,Component III,2,G
41BR253,Feature 1,2,740,40,678,80,4378,73.9,Component III,2,G
41MS32,Feature 21,1,740,60,679,0.84,55,NA,Component III,1,G
41MS32,Feature 25,1,740,60,679,0.2,35,NA,Component III,1,G
41TV742,Feature 6,1,750,70,687,0.1056,16,1.25,Component III,1,G
41BR246,Burned Rock Midden,2,755,40,687,132.665,28865,406.5,Component III,2,G
41BL233,Feature 1,4,762.5,70,698,48,NA,NA,Component III,2,G
41CV382,Feature 1,1,770,70,703,2.64,222,325,Component III,1,F
41MK9,Feature 1,3,770,70,703,2.25,NA,NA,Component III,1,F
41BR522,Burned Rock Midden,2,780,40,702,210,10000,NA,Component III,2,F
41BX184,S230,1,780,60,707,297.5,NA,21100,Component III,2,F
41BR250,Burned Rock Midden,1,790,40,706,78.5,28369,340.3,Component III,2,F
41MI77,Midden,2,800,55,716,170,NA,NA,Component III,2,F
41UV86,Schoolhouse Midden,8,812.5,62.5,728,224.91,NA,NA,Component III,2,F
41CV382,Feature 3,1,830,50,735,0.462,91,29,Component III,1,F
41MK8,Midden 1,2,830,60,742,129.21,NA,NA,Component III,2,F
41TV2265,BRM-5 Pit,2,830,40,730,84,NA,NA,Component III,2,F
41TV742,Feature 16/17,2,850,75,768,0.48,NA,24.5,Component III,1,F
41RN169,Feature 1,9,875.1111111,74.44444444,789,132.665,NA,NA,Component III,2,F
41BR433,Burned Rock Midden,1,900,50,811,78.5,14422,260.92,Component III,2,F
41BR474,Feature 2,1,920,40,834,127.5,NA,NA,Component III,2,F
41HY165,Feature 5/96,1,930,20,852,0.35,NA,NA,Component III,1,F
41SU2,Midden 2,4,932.5,62.5,838,45.3416,NA,NA,Component III,2,F
41BR228,Feature 1,2,945,40,848,176.625,13385,199,Component III,2,F
41BL278,Feature 3,1,960,40,852,0.35,25,6.8,Component III,1,F
41BR474,Feature 1,1,960,40,852,68,NA,NA,Component III,2,F
41WM1010,"Feature B4, TU 1",1,960,40,852,2.52,127,4.07,Component III,1,F
41GU177,Feature 4,1,970,30,854,1.0176,191,43.1,Component III,1,F
41TV742,Feature 15,1,970,70,860,0.42,30,NA,Component III,1,F
41BR253,Feature 2,2,985,40,864,200.96,9896,214.5,Component III,2,F
41CV0319,Feature 1,1,990,50,870,192,NA,NA,Component III,2,F
41UV68,Feature 1,1,1010,40,918,0.72,87,NA,Component III,1,F
41WM1010,"Feature D22, Blk D2",1,1010,40,918,0.2754,47,13.8,Component III,1,F
41WM1010,"Feature D33, D3",1,1030,40,938,0.64,224,227,Component III,1,F
41WM1126,Feature 25,2,1035,40,942,0.384,61,31.5,Component III,1,F
41BL608,Feature 1,2,1045,70,951,78.5,NA,NA,Component III,2,F
41BX1032,Feature 1,1,1050,50,956,0.376,22,12,Component III,1,F
41WM1126,Feature 12,1,1050,40,954,0.425,92,21.6,Component III,1,F
41CV0595,Feature 1,2,1080,75,995,200,NA,NA,Component III,2,F
41BR473,Burned Rock Midden,2,1085,40,992,195,18164,271.6,Component III,2,F
41BR65,Burned Rock Midden,3,1090,40,996,153.86,14269,129,Component III,2,F
41WM1126,Feature 14,2,1090,40,996,0.3363,36,5.9,Component III,1,F
41CV1310,Feature 5,2,1095,50,1004,63,416,83.5,Component III,2,F
41HY209-M,Midden,1,1097,70,1012,126,126,NA,Component III,2,F
41MS32,Feature 16,1,1100,60,1013,1.32,120,NA,Component III,1,F
41MS32,Feature 16B,1,1100,60,1013,0.595,30,NA,Component III,1,F
41BR87,Burned Rock Midden,3,1103.333333,40,1008,176.625,10973,178.4,Component III,2,F
41WM1010,"Feature D38, Blk D3",1,1110,40,1013,2.875,63,24,Component III,1,F
41WM1126,Feature 13,2,1110,40,1013,0.7905,111,22.7,Component III,1,F
41WM1010,B10,1,1130,40,1026,0.96,60,12.35,Component III,1,F
41RN3,Feature 1,9,1131.111111,125.5555556,1049,50.24,NA,NA,Component III,2,F
41KR229,Feature 1,14,1138.571429,97.14285714,1057,120,NA,NA,Component III,2,F
41RN163,Feature 2,1,1143,110,1062,78.85,NA,NA,Component III,2,F
41BR392,Burned Rock Midden,3,1146.666667,46.66666667,1051,180,15000,2.78,Component III,2,F
41WM1010,"Feature B1, TU1",1,1160,40,1068,1.04,46,10.3,Component III,1,F
41GU177,Feature 3: cluster 1,1,1170,30,1088,0.091,NA,NA,Component III,1,F
41KR621,Feature 10,1,1170,60,1087,0.36,34,14.7,Component III,1,F
41CV286,Feature 5,1,1180,30,1101,1.65,1250,145,Component III,1,F
41WM1126,Feature 16,4,1182.5,40,1102,1.905,416,268.6,Component III,1,F
41BR441,Burned Rock Midden,1,1190,60,1109,450,1120,30.5,Component III,2,F
41KM69,Feature 1,1,1190,40,1109,121,NA,NA,Component III,2,F
41WM1010,"Feature D32, Blk D3",1,1190,40,1109,0.121,6,5,Component III,1,F
41WM1010,"Feature D56, Blk D2",1,1190,40,1109,0.5005,106,48.3,Component III,1,F
41CC112,Feature 1A,10,1194.9,93.6,1113,73.86065,NA,NA,Component III,2,F
41BX1032,Feature 3,3,1203.333333,46.66666667,1124,0.85,56,39.5,Component III,1,F
41CC167,Feature 7,1,1210,50,1131,103.5,NA,NA,Component III,2,F
41BR420,Burned Rock Midden,2,1215,55,1136,90,8528,101.5,Component III,2,F
41BL821,Feature 1,1,1220,70,1140,2250,NA,NA,Component III,2,F
41CV1378,Feature 3,2,1220,25,1136,2.4288,NA,405,Component III,1,F
41KM16,Feature 21,1,1223,110,1135,0.785,NA,NA,Component III,1,F
41BL1214,Feature 7,1,1240,40,1165,0.552,6,NA,Component III,1,F
41WM1010,"Feature D2, TU1",1,1240,40,1165,0.96,NA,NA,Component III,1,F
41WM1010,"Feature D37, Blk D3",1,1250,40,1191,0.045,23,18,Component III,1,F
41CV1200,Feature 2,1,1260,60,1190,1.95,NA,NA,Component III,1,F
41WM1010,"D30, Blk D2",1,1260,40,1208,0.4071,16,NA,Component III,1,F
41WM1010,Feature A1,1,1260,40,1208,1.56,127,30.6,Component III,1,F
