Site,BurialNumber,DeltaC13Car,DeltaC13Col,DeltaN,C_N,MidDate,MidDate2,AgeID,CompID,PlusSigma,MinusSigma,Source,Setting
41KR241,,-7.71,-14.79,9.43,,7484,-7484,7500,Component II,,,NSF 2015,CTx
41KR241,,-7.23,-13.97,9.65,,7465,-7465,7500,Component II,,,NSF 2015,CTx
41KR241,,-7.24,-15.47,9.14,,7438,-7438,7500,Component II,,,NSF 2015,CTx
41KR241,,-6.62,-12.86,10.95,,7359,-7359,7500,Component II,,,NSF 2015,CTx
41KR241,,-6.74,-14.64,9.21,,7305,-7305,7500,Component II,,,NSF 2015,CTx
41KR241,,-6.3,-13.71,9.8,,7220,-7220,7300,Component II,,,NSF 2015,CTx
41KR241,,-6.9,-14.81,8.91,,7210,-7210,7300,Component II,,,NSF 2015,CTx
41KR241,,-6.27,-14.43,9.58,,7196,-7196,7300,Component II,,,NSF 2015,CTx
41KR241,,-6.17,-14.06,10.18,,7104,-7104,7300,Component II,,,NSF 2015,CTx
41KR241,-,-5.9,-13.7,8.8,Unknown,6915,-6915,7100,Component II,7050-6780,,Bement 1994,CTx
41KR241,-,-7.3,-14.9,9.6,Unknown,6915,-6915,7100,Component II,7050-6780,,Bement 1994,CTx
41KR241,,-7.2,-14.6,10.55,,6915,-6915,7100,Component II,,,NSF 2015,CTx
41KR241,,-6.19,-13.15,10.49,,6764,-6764,6900,Component II,,,NSF 2015,CTx
41KR241,,-4.81,-11.69,12.2,,6722,-6722,6900,Component II,,,NSF 2015,CTx
41KR241,,-7.19,-14.53,10.08,,6692,-6692,6700,Component II,,,NSF 2015,CTx
41KR241,,-6.71,-13.68,11.38,,6611,-6611,6700,Component II,,,NSF 2015,CTx
41KR241,,-7.11,-13.79,9.44,,6583,-6583,6700,Component II,,,NSF 2015,CTx
41KR241,,-6.57,-13.98,9.56,,6570,-6570,6700,Component II,,,NSF 2015,CTx
41KR241,,-6.99,-14.38,9.28,,6555,-6555,6700,Component II,,,NSF 2015,CTx
41KR241,,-7.45,-13.82,9.86,,6555,-6555,6700,Component II,,,NSF 2015,CTx
41KR241,,-7.46,-14.76,9.24,,6478,-6478,6500,Component II,,,NSF 2015,CTx
41KR241,,-7.58,-15.02,8.78,,6457,-6457,6500,Component II,,,NSF 2015,CTx
41KR241,,-8.22,-15.28,9.16,,6445,-6445,6500,Component II,,,NSF 2015,CTx
41KR241,,-6.74,-14.9,8.92,,6433,-6433,6500,Component II,,,NSF 2015,CTx
41KR241,,-8.79,-16.27,8.81,,6431,-6431,6500,Component II,,,NSF 2015,CTx
41KR241,,-6.95,-14.58,8.7,,6414,-6414,6500,Component II,,,NSF 2015,CTx
41KR241,-,-8.5,-15.2,7.4,Unknown,6360,-6360,6500,Component II,6500-6220,,Bement 1994,CTx
41KR241,-,-7.3,-14.3,8.5,Unknown,6360,-6360,6500,Component II,6500-6220,,Bement 1994,CTx
41KR241,,-7.04,-14.01,9.37,,6331,-6331,6500,Component II,,,NSF 2015,CTx
41KR241,-,-6.9,-15.2,9,Unknown,6080,-6080,6100,Component II,5940-6220,,Bement 1994,CTx
41KR241,,-7.04,-16.16,9.53,,5628,-5628,5700,Component II,,,NSF 2015,CTx
