calBP,DeltaN,DeltaC13Col,n,CompID,PrDens,lo,hi,logFit,NPP,CRR,MAT,FloodEvents
6900,11.55,-17.225,4,Component II,3.828755043,1.210657934,4.462073985,2.89024819,1096.030061,684.7456942,20.5497324,Frequent
6700,11.6,-15.3,4,Component II,4.10784009,1.695286869,4.687698688,3.045133531,1076.307411,669.2254914,20.75157167,Infrequent
6500,10.07,-16.29,6,Component II,2.733450654,1.890507193,4.911789385,3.237454206,1089.473227,679.5682033,20.78926564,Infrequent
6300,9.978,-16.986,5,Component II,2.869680141,2.003155238,4.940558311,3.474408363,1100.265231,688.0994085,20.62627138,Infrequent
6100,12.44,-17.7,1,Component II,2.966323463,2.180373248,5.373884199,3.763574347,1079.962598,672.089793,20.93253575,Infrequent
5900,,,0,Component II,2.723542277,2.58580795,5.814901965,4.112366668,1075.121486,668.2973378,20.99023058,Infrequent
5700,9.57,-18.98,1,Component II,2.305196962,2.71943724,6.384831396,4.527215976,1117.72467,702.0044602,20.74353294,Frequent
5500,11.19,-18.08,1,Component II,7.367502222,3.437483895,7.386378246,5.012479156,1083.568959,674.9211827,20.84118857,Frequent
5300,11.68,-18.615,2,Component II,6.923425504,4.072626673,8.243260245,5.569174157,1094.985061,683.9193344,20.77882547,Frequent
5100,11.115,-17.865,2,Component II,6.46763156,4.426917708,8.806111665,6.19375327,1088.790942,679.03047,20.7436267,Frequent
4900,10.3425,-18.65,2,Component II,6.703856021,4.93875114,9.18753604,6.877240477,1081.092346,672.9761969,20.9260029,Frequent
4700,10.89,-19.49,1,Component II,10.07745688,5.189950221,10.06896083,7.605096591,1096.353543,685.001587,20.98339192,Infrequent
4500,,,0,Component II,6.06574102,5.903769163,10.53956597,8.358073279,1079.052861,671.3763899,20.82842579,Infrequent
4300,9.865,-16.9975,4,Component II,8.486296523,6.397136075,12.32069536,9.114059434,1062.065114,658.1165277,20.83618715,Infrequent
4100,10.41833333,-17.185,6,Component II,8.936267563,7.124279904,13.00412136,9.850591486,1062.081846,658.1295305,20.91194094,Infrequent
3900,10.974,-15.598,5,Component II,10.12702051,7.680132621,13.50889844,10.54744841,1096.312358,684.9690054,20.94559005,Infrequent
3700,10.11833333,-16.94,6,Component II,13.66087015,8.456085256,14.97330165,11.18871879,1074.272259,667.6330495,21.01669756,Infrequent
3500,11.39,-14.2975,4,Component II,10.23918936,8.787113341,15.19237475,11.76393046,1103.429129,690.6096955,20.85036267,Infrequent
3300,10.50625,-17.10125,8,Component II,13.30076129,9.820040415,15.66652619,12.26815989,1083.727531,675.0458012,20.87755116,Infrequent
3100,9.5225,-17.66,8,Component II,12.24143533,9.732981742,15.59435841,12.70132804,1082.710989,674.2470994,20.96299722,Infrequent
2900,10.15666667,-17.62533333,15,Component II,13.83085288,8.971298614,17.74136081,15.33000623,1070.681973,664.8278643,20.94568201,Frequent
2700,11.34857143,-17.38,7,Component III,22.92558511,15.38191768,29.33548076,22.42766114,1085.106982,676.1303209,20.79999724,Frequent
2500,10.74882353,-18.16411765,17,Component III,21.17408143,14.57413474,29.86730473,22.4276765,1101.097599,688.7594174,20.64500577,Frequent
2300,10.98956522,-19.17913043,23,Component III,19.34329499,16.60621256,29.67936494,22.42782057,1085.73858,676.6271416,20.87447931,Frequent
2100,10.534,-17.188,5,Component III,28.25596614,15.96697089,30.88495753,22.42917219,1082.218032,673.8599329,20.77157007,Frequent
1900,11.97125,-13.955,8,Component III,20.00117699,15.09752896,30.34102089,22.44184172,1084.343594,675.5300516,20.81858253,Frequent
1700,11.249,-15.572,10,Component III,23.7423816,15.49016767,30.83927109,22.55962242,1080.452058,672.4737611,20.93098083,Infrequent
1500,12.17606061,-10.38939394,33,Component III,27.17551557,17.90781902,32.60149251,23.57752492,1034.295293,636.6889729,20.93401895,Infrequent
1300,11.09090909,-12.43969697,33,Component III,28.4069297,23.3752541,39.13126402,29.14606484,1094.317144,683.3914,21.0067194,Infrequent
1100,10.76857143,-15.15142857,7,Component III,38.51034575,29.0321204,48.54285065,38.14026283,1099.881643,687.7953483,20.92548235,Infrequent
900,11.992,-16.966,5,Component III,47.97511357,33.84573321,50.66061585,41.47060835,1110.673642,696.3734145,20.79865432,Infrequent
700,11.13703704,-14.81333333,26,Component III,44.78471978,34.21242904,52.54909808,41.94557087,1101.596675,689.1552881,20.82708053,Infrequent
500,11.66375,-14.06875,8,Component III,39.66079706,34.17010675,53.00568774,41.99813785,1098.731977,686.8844046,20.88800854,Infrequent
